algorithm,n,log2n,runtime_ms,status,operations
n2,1,0,0.032580,ok,1.0
fft,1,0,50.124663,ok,0.0
n2,2,1,0.037403,ok,4.0
fft,2,1,0.597785,ok,10.0
n2,4,2,0.040644,ok,16.0
fft,4,2,0.576015,ok,40.0
n2,8,3,0.070549,ok,64.0
fft,8,3,0.357540,ok,120.0
n2,16,4,0.106046,ok,256.0
fft,16,4,0.439725,ok,320.0
n2,32,5,0.351560,ok,1024.0
fft,32,5,0.617414,ok,800.0
n2,64,6,1.321490,ok,4096.0
fft,64,6,0.908582,ok,1920.0
n2,128,7,2.588505,ok,16384.0
fft,128,7,0.786107,ok,4480.0
n2,256,8,11.004468,ok,65536.0
fft,256,8,1.720244,ok,10240.0
n2,512,9,49.800784,ok,262144.0
fft,512,9,3.176901,ok,23040.0
n2,1024,10,204.130255,ok,1048576.0
fft,1024,10,6.092318,ok,51200.0
n2,2048,11,799.111999,ok,4194304.0
fft,2048,11,13.169784,ok,112640.0
n2,4096,12,3245.303697,ok,16777216.0
fft,4096,12,23.347410,ok,245760.0
n2,8192,13,13083.839393,ok,67108864.0
fft,8192,13,47.955201,ok,532480.0
n2,16384,14,51154.676713,ok,268435456.0
fft,16384,14,92.530371,ok,1146880.0
n2,32768,15,206254.513585,ok,1073741824.0
fft,32768,15,143.110218,ok,2457600.0
n2,65536,16,820650.462939,timeout,4294967296.0
