algorithm,n,log2n,runtime_ms,status,operations
n2,1,0,0.005076,ok,1.0
fft,1,0,0.580010,ok,0.0
n2,2,1,0.004089,ok,4.0
fft,2,1,0.094464,ok,10.0
n2,4,2,0.006020,ok,16.0
fft,4,2,0.096636,ok,40.0
n2,8,3,0.011782,ok,64.0
fft,8,3,0.098111,ok,120.0
n2,16,4,0.044621,ok,256.0
fft,16,4,0.138716,ok,320.0
n2,32,5,0.110861,ok,1024.0
fft,32,5,0.155749,ok,800.0
n2,64,6,0.372370,ok,4096.0
fft,64,6,0.512548,ok,1920.0
n2,128,7,1.681657,ok,16384.0
fft,128,7,0.388437,ok,4480.0
n2,256,8,7.186292,ok,65536.0
fft,256,8,0.996899,ok,10240.0
n2,512,9,29.742331,ok,262144.0
fft,512,9,1.638760,ok,23040.0
n2,1024,10,121.177096,ok,1048576.0
fft,1024,10,2.995056,ok,51200.0
n2,2048,11,487.161210,ok,4194304.0
fft,2048,11,6.099239,ok,112640.0
n2,4096,12,1952.414850,ok,16777216.0
fft,4096,12,12.090749,ok,245760.0
n2,8192,13,7851.390522,ok,67108864.0
fft,8192,13,24.542345,ok,532480.0
n2,16384,14,31461.686308,ok,268435456.0
fft,16384,14,49.569188,ok,1146880.0
