algorithm,n,log2n,runtime_ms,status,operations
n2,1,0,0.010525,ok,1.0
fft,1,0,1.127462,ok,0.0
n2,2,1,0.006908,ok,4.0
fft,2,1,0.126955,ok,10.0
n2,4,2,0.008006,ok,16.0
fft,4,2,0.104398,ok,40.0
n2,8,3,0.022703,ok,64.0
fft,8,3,0.122570,ok,120.0
n2,16,4,0.047784,ok,256.0
fft,16,4,0.167687,ok,320.0
n2,32,5,0.171403,ok,1024.0
fft,32,5,0.280667,ok,800.0
n2,64,6,0.582709,ok,4096.0
fft,64,6,0.381281,ok,1920.0
n2,128,7,2.215857,ok,16384.0
fft,128,7,0.720815,ok,4480.0
n2,256,8,9.468776,ok,65536.0
fft,256,8,1.257599,ok,10240.0
n2,512,9,42.992319,ok,262144.0
fft,512,9,2.339360,ok,23040.0
n2,1024,10,180.446407,ok,1048576.0
fft,1024,10,4.618204,ok,51200.0
n2,2048,11,755.775141,ok,4194304.0
fft,2048,11,11.042240,ok,112640.0
n2,4096,12,2991.661124,ok,16777216.0
fft,4096,12,22.749847,ok,245760.0
n2,8192,13,12366.665400,ok,67108864.0
fft,8192,13,44.392299,ok,532480.0
n2,16384,14,49791.309902,ok,268435456.0
fft,16384,14,69.912926,ok,1146880.0
n2,32768,15,197910.724790,timeout,1073741824.0
