IMUL,n^2,n ld n,n,ld n,ECE Runtime [ms],EC2 Runtime [ms],Mop/s ECE,Mop/s EC2
IMUL1,1,0,1,0,50.124663,1.046604,0.000000,0.000000
IMUL2,4,10,2,1,0.597785,0.147111,0.016728,0.067976
IMUL4,16,40,4,2,0.576015,0.127186,0.069443,0.314500
IMUL8,64,120,8,3,0.357540,0.153830,0.335627,0.780082
IMUL16,256,320,16,4,0.439725,0.144047,0.727728,2.221497
IMUL32,1024,800,32,5,0.617414,0.213818,1.295727,3.741500
IMUL64,4096,1920,64,6,0.908582,0.259975,2.113183,7.385326
IMUL128,16384,4480,128,7,0.786107,0.420592,5.698970,10.651653
IMUL256,65536,10240,256,8,1.720244,0.803119,5.952644,12.750290
IMUL512,262144,23040,512,9,3.176901,1.409477,7.252351,16.346489
IMUL1024,1048576,51200,1024,10,6.092318,2.734032,8.404026,18.726921
IMUL2048,4194304,112640,2048,11,13.169784,6.487111,8.552912,17.363662
IMUL4096,16777216,245760,4096,12,23.347410,12.797646,10.526221,19.203532
IMUL8192,67108864,532480,8192,13,47.955201,25.512336,11.103697,20.871472
IMUL16384,268435456,1146880,16384,14,92.530371,51.522426,12.394633,22.259821
IMUL32768,1073741824,2457600,32768,15,143.110218,103.951868,17.172778,23.641711
