IMUL,n^2,n ld n,n,ld n,GPU Runtime [ms],Mop/s GPU
IMUL1,1,0,1,0,0.222560,0.000000
IMUL2,4,10,2,1,0.035328,0.283062
IMUL4,16,40,4,2,0.034432,1.161710
IMUL8,64,120,8,3,0.034240,3.504673
IMUL16,256,320,16,4,0.060128,5.321980
IMUL32,1024,800,32,5,0.049120,16.286645
IMUL64,4096,1920,64,6,0.051296,37.429819
IMUL128,16384,4480,128,7,0.065536,68.359375
IMUL256,65536,10240,256,8,0.072032,142.159040
IMUL512,262144,23040,512,9,0.122880,187.500000
IMUL1024,1048576,51200,1024,10,0.217088,235.849057
IMUL2048,4194304,112640,2048,11,0.622240,181.023399
IMUL4096,16777216,245760,4096,12,1.421860,172.844021
IMUL8192,67108864,532480,8192,13,0.469504,1134.133043
IMUL16384,268435456,1146880,16384,14,0.474208,2418.516769
IMUL32768,1073741824,2457600,32768,15,0.488224,5033.754998
IMUL65536,4294967296,5242880,65536,16,1.494240,3508.726844
IMUL131072,17179869184,11141120,131072,17,2.331580,4778.356308
IMUL262144,68719476736,23592960,262144,18,4.868380,4846.162378
IMUL524288,274877906944,49807360,524288,19,10.145700,4909.208827
IMUL1048576,1099511627776,104857600,1048576,20,17.860600,5870.888996
IMUL2097152,4398046511104,220200960,2097152,21,34.500400,6382.562521
IMUL4194304,17592186044416,461373440,4194304,22,67.626600,6822.366347
IMUL8388608,70368744177664,964689920,8388608,23,132.039000,7306.098350
IMUL16777216,281474976710656,2013265920,16777216,24,152.408000,13209.712876
IMUL33554432,1125899906842624,4194304000,33554432,25,393.449000,10660.349880
