IMUL,n^2,n ld n,n,ld n,GPU Runtime [ms],Mop/s GPU
IMUL1,1,0,1,0,345.995000,0.000000
IMUL2,4,10,2,1,4.049790,0.002469
IMUL4,16,40,4,2,0.869464,0.046005
IMUL8,64,120,8,3,2.090320,0.057407
IMUL16,256,320,16,4,68.975800,0.004639
IMUL32,1024,800,32,5,35.311200,0.022656
IMUL64,4096,1920,64,6,110.711000,0.017342
IMUL128,16384,4480,128,7,150.358000,0.029796
IMUL256,65536,10240,256,8,139.015000,0.073661
IMUL512,262144,23040,512,9,245.431000,0.093876
IMUL1024,1048576,51200,1024,10,362.050000,0.141417
IMUL2048,4194304,112640,2048,11,542.447000,0.207652
IMUL4096,16777216,245760,4096,12,138.437000,1.775248
IMUL8192,67108864,532480,8192,13,6.234380,85.410257
IMUL16384,268435456,1146880,16384,14,2.361240,485.710898
IMUL32768,1073741824,2457600,32768,15,3.848280,638.622969
IMUL65536,4294967296,5242880,65536,16,7.257850,722.373706
IMUL131072,17179869184,11141120,131072,17,16.737300,665.646191
IMUL262144,68719476736,23592960,262144,18,34.925000,675.532140
IMUL524288,274877906944,49807360,524288,19,71.679000,694.866837
IMUL1048576,1099511627776,104857600,1048576,20,145.823000,719.074494
IMUL2097152,4398046511104,220200960,2097152,21,297.831000,739.348691
IMUL4194304,17592186044416,461373440,4194304,22,626.936000,735.917925
IMUL8388608,70368744177664,964689920,8388608,23,1254.350000,769.075553
IMUL16777216,281474976710656,2013265920,16777216,24,2433.530000,827.302692
IMUL33554432,1125899906842624,4194304000,33554432,25,5560.960000,754.240994
