n,gpu_time_ms,total_ms,status
1,0.22256,345.995,success
2,0.035328,4.04979,success
4,0.034432,0.869464,success
8,0.03424,2.09032,success
16,0.060128,68.9758,success
32,0.04912,35.3112,success
64,0.051296,110.711,success
128,0.065536,150.358,success
256,0.072032,139.015,success
512,0.12288,245.431,success
1024,0.217088,362.05,success
2048,0.62224,542.447,success
4096,1.42186,138.437,success
8192,0.469504,6.23438,success
16384,0.474208,2.36124,success
32768,0.488224,3.84828,success
65536,1.49424,7.25785,success
131072,2.33158,16.7373,success
262144,4.86838,34.925,success
524288,10.1457,71.679,success
1048576,17.8606,145.823,success
2097152,34.5004,297.831,success
4194304,67.6266,626.936,success
8388608,132.039,1254.35,success
16777216,152.408,2433.53,success
33554432,393.449,5560.96,success
67108864,,,oom:insufficient host memory for next problem size
