IMUL,n^2,n ld n,n,ld n,ECE Runtime [ms],EC2 Runtime [ms],Mop/s ECE,Mop/s EC2
IMUL1,1,1,1,0,0.032580,0.008535,0.030694,0.117165
IMUL2,4,4,2,1,0.037403,0.005663,0.106943,0.706339
IMUL4,16,16,4,2,0.040644,0.007383,0.393662,2.167141
IMUL8,64,64,8,3,0.070549,0.012989,0.907171,4.927246
IMUL16,256,256,16,4,0.106046,0.032922,2.414047,7.775955
IMUL32,1024,1024,32,5,0.351560,0.103180,2.912732,9.924404
IMUL64,4096,4096,64,6,1.321490,0.364506,3.099532,11.237126
IMUL128,16384,16384,128,7,2.588505,1.830672,6.329522,8.949719
IMUL256,65536,65536,256,8,11.004468,7.080916,5.955399,9.255300
IMUL512,262144,262144,512,9,49.800784,30.431687,5.263853,8.614179
IMUL1024,1048576,1048576,1024,10,204.130255,120.620592,5.136799,8.693176
IMUL2048,4194304,4194304,2048,11,799.111999,491.356765,5.248706,8.536168
IMUL4096,16777216,16777216,4096,12,3245.303697,1990.065583,5.169691,8.430484
IMUL8192,67108864,67108864,8192,13,13083.839393,7898.611266,5.129142,8.496286
IMUL16384,268435456,268435456,16384,14,51154.676713,31908.180251,5.247525,8.412747
IMUL32768,1073741824,1073741824,32768,15,206254.513585,128239.871206,5.205907,8.372917
